category,project,path,number,version,filename
module,XML Extensions,/artifact/org.mule.modules/mule-module-xml,77,3.9.0,jars/org.mule.modules__mule-module-xml___3.9.0.jar
module,Magnolia Module Admininterface,/artifact/info.magnolia/magnolia-module-admininterface,75,4.5.12,jars/info.magnolia__magnolia-module-admininterface___4.5.12.jar
module,NetBeans Modules JavaHelp,/artifact/org.netbeans.api/org-netbeans-modules-javahelp,74,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-javahelp___RELEASE122.jar
module,Scala Parallel Collections,/artifact/org.scala-lang.modules/scala-parallel-collections,73,1.0.2,jars/org.scala-lang.modules__scala-parallel-collections___1.0.2.jar
module,NetBeans Modules Refactoring API,/artifact/org.netbeans.api/org-netbeans-modules-refactoring-api,72,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-refactoring-api___RELEASE122.jar
module,NetBeans Modules J2eeserver,/artifact/org.netbeans.api/org-netbeans-modules-j2eeserver,71,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-j2eeserver___RELEASE122.jar
module,WildFly Swarm: Container Modules,/artifact/org.wildfly.swarm/container-modules,71,1.0.2.Final,jars/org.wildfly.swarm__container-modules___1.0.2.Final.jar
module,NetBeans Modules CSL Types,/artifact/org.netbeans.api/org-netbeans-modules-csl-types,70,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-csl-types___RELEASE122.jar
module,NetBeans Modules Web Common,/artifact/org.netbeans.modules/org-netbeans-modules-web-common,68,RELEASE122,jars/org.netbeans.modules__org-netbeans-modules-web-common___RELEASE122.jar
module,NetBeans Modules Nbjunit,/artifact/org.netbeans.api/org-netbeans-modules-nbjunit,66,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-nbjunit___RELEASE122.jar
module,Wrappers JSR 305,/artifact/com.kenai.nbpwr/javax-annotation,65,1.3.7-201002241900,jars/com.kenai.nbpwr__javax-annotation___1.3.7-201002241900.jar
module,DAISY Pipeline 2 :: Modules Test Helper,/artifact/org.daisy.pipeline.build/modules-test-helper,64,2.1.0,jars/org.daisy.pipeline.build__modules-test-helper___2.1.0.jar
module,NetBeans Modules Editor Completion,/artifact/org.netbeans.api/org-netbeans-modules-editor-completion,63,RELEASE122,jars/org.netbeans.api__org-netbeans-modules-editor-completion___RELEASE122.jar
