precision, recall, fmeasure 
0.9907505232731985,0.14173228346456693,0.24798846070206265
0.9506095763080584,0.2819794584500467,0.43494200575519437
0.9200866262059025,0.16789146410401357,0.2839665470326307
0.9883361512090165,0.03220338983050847,0.06237440702894951
1.0,0.37524950099800397,0.5457184325108854
0.8422857142857142,0.5663865546218487,0.6773176618170413
1.0,0.9206008583690987,0.9586592178770948
1.0,0.8594470046082949,0.9244114002478315
1.0,0.771622934888241,0.8710916072408119
1.0,0.45183887915936954,0.6224366706875755
0.9692068591281892,0.45689523284939926,0.5628906410900079
