precision, recall, fmeasure 
0.8020642471204282,0.44874274661508706,0.575501280400881
0.6522721019809244,0.2074468085106383,0.31478141095931217
0.8167018167018166,0.3751962323390895,0.514177273496812
0.91476985546753,0.3430232558139535,0.4989490423003419
0.852840986510424,0.5865921787709497,0.695092852504236
0.5072071877860146,0.3927710843373494,0.44271361498625844
0.7528402749833637,0.5654596100278552,0.6458329749482354
0.6012877747252748,0.28846153846153844,0.3898814957982445
0.7697299127144137,0.30078125,0.4325416368785614
0.7563055879201546,0.32710280373831774,0.4566877646442028
0.7426019745910345,0.38355775086147786,0.49661593469170845
