precision, recall, fmeasure 
0.9934299516908213,0.04666666666666667,0.08914568818702585
0.9633156966490299,0.27380952380952384,0.42641602938131556
0.9235206206590633,0.17136150234741784,0.2890829572966186
0.9892212966316553,0.03272727272727273,0.0633584040003093
1.0,0.4017857142857143,0.5732484076433121
0.8718535469107551,0.6240601503759399,0.7274337504600663
1.0,0.9238095238095239,0.9603960396039605
1.0,0.7553191489361702,0.8606060606060607
1.0,0.871900826446281,0.9315673289183224
1.0,0.4881889763779528,0.656084656084656
0.9741341112541324,0.4589629305782463,0.5577339322181647
