precision, recall, fmeasure 
1.0,0.3588516746411483,0.528169014084507
0.9880205622071838,0.6106194690265486,0.7547722805573298
0.9117108869876362,0.3044822256568779,0.4565060550655206
0.9861268663126314,0.05755395683453238,0.10876026815552034
1.0,0.7486910994764397,0.8562874251497006
0.9157407407407407,0.774074074074074,0.8389690512430238
1.0,0.9585798816568047,0.9788519637462235
1.0,0.9342105263157895,0.9659863945578232
1.0,0.9115384615384615,0.9537223340040242
1.0,0.5686274509803921,0.725
0.9801599056248194,0.622722882020107,0.7167024786563673
