precision, recall, fmeasure 
0.7190354622086124,0.47448015122873344,0.571702709217175
0.6443904128850245,0.12086513994910941,0.20355118534394748
0.8763086863533291,0.6194444444444445,0.7258210411907458
0.49795094552127805,0.40372670807453415,0.44591566668241756
0.5664119560026345,0.33726067746686306,0.4227824832392194
0.4482899543346172,0.31907308377896615,0.37280205340175937
0.7973285391886711,0.5732177263969171,0.6669499073492806
0.6609836545903796,0.5198902606310014,0.5820078842090461
0.6944781801065419,0.5958549222797928,0.6413975449705209
0.7765948120230657,0.3709677419354839,0.5020931065086223
0.6681772603214154,0.43347808561858453,0.5135023582112735
